Protocol,Pool Address,Asset,APY,Base APY,Reward APY,TVL ($),Reward Tokens,APY (1D),APY (7D),APY (30D),Image,App Link
orca-dex,,SOL-HONEY,140.53975,140.53975,0.0,11703,,-192.09084,19.28396,-26.44665,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,8CTdPU7wcR6fcKqqVQEMTC7MLxrK75tfUMB2p1youvfn,WSOL-AUTOPEN,6.56,6.56,0.0,11674,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,6YGvuv48jmViCH9MxVTNJMJDnEg6YDyx9WbH5HRMmsPw,WSOL-ABTC,4.73,4.73,0.0,11662,,-0.65,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,W-JITOSOL,3e-05,3e-05,0.0,11650,,2e-05,3e-05,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
project-0,,MET,4.09549,4.09549,0.0,11648,,-0.07221,2.36836,0.0,https://icons.llamao.fi/icons/protocols/project-0,https://app.0.xyz
orca-dex,,SOL-STSOL,0.00755,0.00755,0.0,11636,,-0.00495,-0.00137,-0.04844,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,WBTC-JITOSOL,17.02703,17.02703,0.0,11635,,2.57445,1.56293,-38.69546,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,DUCK-USDC,0.0,0.0,0.0,11634,,0.0,-9.66693,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,3irWrdtsZR4drXAAWkhFHPmgJLG7yG8LB4vuvzMj6cSQ,ICP-USDC,52.71,52.71,0.0,11621,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,2ZZA4tWWuKY4aX45y35UUcfL8XHuU5eQZgNBCLkL6cSA,RCSC-USDC,40.66,40.66,0.0,11613,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,Cytoh4KRKP6aDuQG96N9jqYjfcfLfCphnegr69jkvdLo,MON-USDC,43.35,43.35,0.0,11610,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,SGDD-USDT,0.0,0.0,0.0,11606,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
save,,USDT,0.13,0.13,0.0,11601,,0.0,0.0,-0.13,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
orca-dex,,USPD-USDT,0.0316,0.0316,0.0,11596,,-0.0321,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
gmtrade,,WSOL-USDC,8.70955,8.70955,0.0,11563,,2.20267,8.66957,0.0,https://icons.llamao.fi/icons/protocols/gmtrade,https://gmtrade.xyz
raydium-amm,H8NqB9rtmi9CAqYUxd1DDZiLjtfqKku3Cw9TakLKpQfX,WSOL-FXRICH,13.04,13.04,0.0,11557,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,D2gv4p9wQBwqbbYSgMhRD17JG99n5uygZvfQ7ormz3dM,WSOL-CYBERCAB,6.27,6.27,0.0,11547,,-0.43,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,CaqNsANwXUgsV1BcALfsHv2bdqMppuzVF4iZ93FpNRtM,NVDAX-IDLE,64.79,64.79,0.0,11511,,2.11,-56.45,3.92,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,8cKUEuMBpcLDcJhDHE8uDXnsXzLR29Bp7w5GXWrsTTdy,USD1-BIGOTE,4.22,4.22,0.0,11492,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,GEacZ94pW7egZsPLgNWXrWBnA5qPTfbRUU5epdfjaLF2,WSOL-,17.02,17.02,0.0,11490,,12.22,5.91,-96.61,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
save,,SOL,0.18,0.18,0.0,11490,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
raydium-amm,FgV2egvoJ5FgnULfco41Vaues5STrDypt6KE8xc9wpAx,WSOL-HOG,5.18,5.18,0.0,11430,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,CEH8oPeCmoc4kchNVDKzRAUmCiaLH16tPrchDmi4kGag,LDO-USDC,47.98,47.98,0.0,11422,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,7CPu7bQsbewjoF5tt2zj7xYy5QV4dgr6duruat44NDeF,WSOL-$CWIF,14.77,14.77,0.0,11414,,0.0,-2.89,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,8HbU5sVE51MeVPUC2R7EazwZ9YeWx3DgJoazGfjEUj4L,BDGA-USDC,47.31,47.31,0.0,11412,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,MON-USDC,1.42882,1.42882,0.0,11402,,-0.11381,-2.67015,-0.17375,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,USDT-OKUU,0.0,0.0,0.0,11386,,0.0,-0.00466,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,5a38ZSs7g7wunL4z44a5gEjfpgQQBr45PYf39P34UXf4,SW-WSOL,4.12,4.12,0.0,11384,,0.0,-0.92,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,CgDzjKkvA9yiVA69mvhXbi8XeQoD7U1edxzH3QCgoaW1,USDC-HYPE,53.45,53.45,0.0,11376,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
gmtrade,,BTC-WBTC,9.0707,9.0707,0.0,11373,,-2.45549,-36.8965,0.0,https://icons.llamao.fi/icons/protocols/gmtrade,https://gmtrade.xyz
raydium-amm,2WfPvZ3mpQBrf8yJnmNJpQGKjSXJSQDC41Kx61dTGPH2,SPACE-USDC,41.51,41.51,0.0,11370,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
